Product_Name,Rating,Price,Brand,Product_URL
Pepe Jeans Men Self Design Polo Neck Polycotton Red T-Shirt,4.4,599,Pepe Jeans,https://www.flipkart.com/arrow-sport-checkered-men-polo-neck-blue-t-shirt/p/itm77835b0260459?pid=TSHHH5NT3HHYTREQ&lid=LSTTSHHH5NT3HHYTREQIOOR1N&marketplace=FLIPKART&q=t+shirts&store=clo%2Fash%2Fank&srno=s_5_180&otracker=AS_Query_HistoryAutoSuggest_1_1_na_na_na&otracker1=AS_Query_HistoryAutoSuggest_1_1_na_na_na&fm=search-autosuggest&iid=3de10e5a-7053-4edd-a148-74012c5320d0.TSHHH5NT3HHYTREQ.SEARCH&ppt=sp&ppn=sp&ssid=yuhzs82c8g0000001788787562891&qH=04ad3bdbbe706182&ov_redirect=true
AACHIPAN Men Printed Polo Neck Pure Cotton Grey T-Shirt,3.9,258,AACHIPAN,https://www.flipkart.com/arrow-sport-checkered-men-polo-neck-blue-t-shirt/p/itm77835b0260459?pid=TSHHH5NT3HHYTREQ&lid=LSTTSHHH5NT3HHYTREQIOOR1N&marketplace=FLIPKART&q=t+shirts&store=clo%2Fash%2Fank&srno=s_5_180&otracker=AS_Query_HistoryAutoSuggest_1_1_na_na_na&otracker1=AS_Query_HistoryAutoSuggest_1_1_na_na_na&fm=search-autosuggest&iid=3de10e5a-7053-4edd-a148-74012c5320d0.TSHHH5NT3HHYTREQ.SEARCH&ppt=sp&ppn=sp&ssid=yuhzs82c8g0000001788787562891&qH=04ad3bdbbe706182&ov_redirect=true
Funky fashion Men Printed Round Neck Cotton Blend Maroon T-Shirt,3.8,245,Funky fashion,https://www.flipkart.com/arrow-sport-checkered-men-polo-neck-blue-t-shirt/p/itm77835b0260459?pid=TSHHH5NT3HHYTREQ&lid=LSTTSHHH5NT3HHYTREQIOOR1N&marketplace=FLIPKART&q=t+shirts&store=clo%2Fash%2Fank&srno=s_5_180&otracker=AS_Query_HistoryAutoSuggest_1_1_na_na_na&otracker1=AS_Query_HistoryAutoSuggest_1_1_na_na_na&fm=search-autosuggest&iid=3de10e5a-7053-4edd-a148-74012c5320d0.TSHHH5NT3HHYTREQ.SEARCH&ppt=sp&ppn=sp&ssid=yuhzs82c8g0000001788787562891&qH=04ad3bdbbe706182&ov_redirect=true
JOCKEY AW88 Women Solid Round Neck Cotton Blend Red T-Shirt,4.3,579,JOCKEY,https://www.flipkart.com/arrow-sport-checkered-men-polo-neck-blue-t-shirt/p/itm77835b0260459?pid=TSHHH5NT3HHYTREQ&lid=LSTTSHHH5NT3HHYTREQIOOR1N&marketplace=FLIPKART&q=t+shirts&store=clo%2Fash%2Fank&srno=s_5_180&otracker=AS_Query_HistoryAutoSuggest_1_1_na_na_na&otracker1=AS_Query_HistoryAutoSuggest_1_1_na_na_na&fm=search-autosuggest&iid=3de10e5a-7053-4edd-a148-74012c5320d0.TSHHH5NT3HHYTREQ.SEARCH&ppt=sp&ppn=sp&ssid=yuhzs82c8g0000001788787562891&qH=04ad3bdbbe706182&ov_redirect=true
VeBNoR Men Solid Polo Neck Polyester Grey T-Shirt,4.1,289,VeBNoR,https://www.flipkart.com/arrow-sport-checkered-men-polo-neck-blue-t-shirt/p/itm77835b0260459?pid=TSHHH5NT3HHYTREQ&lid=LSTTSHHH5NT3HHYTREQIOOR1N&marketplace=FLIPKART&q=t+shirts&store=clo%2Fash%2Fank&srno=s_5_180&otracker=AS_Query_HistoryAutoSuggest_1_1_na_na_na&otracker1=AS_Query_HistoryAutoSuggest_1_1_na_na_na&fm=search-autosuggest&iid=3de10e5a-7053-4edd-a148-74012c5320d0.TSHHH5NT3HHYTREQ.SEARCH&ppt=sp&ppn=sp&ssid=yuhzs82c8g0000001788787562891&qH=04ad3bdbbe706182&ov_redirect=true
VeBNoR Men Solid Mandarin Collar Cotton Blend Pink T-Shirt,4.1,292,VeBNoR,https://www.flipkart.com/arrow-sport-checkered-men-polo-neck-blue-t-shirt/p/itm77835b0260459?pid=TSHHH5NT3HHYTREQ&lid=LSTTSHHH5NT3HHYTREQIOOR1N&marketplace=FLIPKART&q=t+shirts&store=clo%2Fash%2Fank&srno=s_5_180&otracker=AS_Query_HistoryAutoSuggest_1_1_na_na_na&otracker1=AS_Query_HistoryAutoSuggest_1_1_na_na_na&fm=search-autosuggest&iid=3de10e5a-7053-4edd-a148-74012c5320d0.TSHHH5NT3HHYTREQ.SEARCH&ppt=sp&ppn=sp&ssid=yuhzs82c8g0000001788787562891&qH=04ad3bdbbe706182&ov_redirect=true
Muskan Creation Men Solid Henley Neck Cotton Blend Black T-Shirt,3.8,319,Muskan Creation,https://www.flipkart.com/arrow-sport-checkered-men-polo-neck-blue-t-shirt/p/itm77835b0260459?pid=TSHHH5NT3HHYTREQ&lid=LSTTSHHH5NT3HHYTREQIOOR1N&marketplace=FLIPKART&q=t+shirts&store=clo%2Fash%2Fank&srno=s_5_180&otracker=AS_Query_HistoryAutoSuggest_1_1_na_na_na&otracker1=AS_Query_HistoryAutoSuggest_1_1_na_na_na&fm=search-autosuggest&iid=3de10e5a-7053-4edd-a148-74012c5320d0.TSHHH5NT3HHYTREQ.SEARCH&ppt=sp&ppn=sp&ssid=yuhzs82c8g0000001788787562891&qH=04ad3bdbbe706182&ov_redirect=true
TECHNOSPORT Men Solid Polo Neck Polyester Light Blue T-Shirt,4.2,448,TECHNOSPORT,https://www.flipkart.com/arrow-sport-checkered-men-polo-neck-blue-t-shirt/p/itm77835b0260459?pid=TSHHH5NT3HHYTREQ&lid=LSTTSHHH5NT3HHYTREQIOOR1N&marketplace=FLIPKART&q=t+shirts&store=clo%2Fash%2Fank&srno=s_5_180&otracker=AS_Query_HistoryAutoSuggest_1_1_na_na_na&otracker1=AS_Query_HistoryAutoSuggest_1_1_na_na_na&fm=search-autosuggest&iid=3de10e5a-7053-4edd-a148-74012c5320d0.TSHHH5NT3HHYTREQ.SEARCH&ppt=sp&ppn=sp&ssid=yuhzs82c8g0000001788787562891&qH=04ad3bdbbe706182&ov_redirect=true
METRONAUT Solid Men Polo Neck Polycotton White T-Shirt,3.8,241,METRONAUT,https://www.flipkart.com/arrow-sport-checkered-men-polo-neck-blue-t-shirt/p/itm77835b0260459?pid=TSHHH5NT3HHYTREQ&lid=LSTTSHHH5NT3HHYTREQIOOR1N&marketplace=FLIPKART&q=t+shirts&store=clo%2Fash%2Fank&srno=s_5_180&otracker=AS_Query_HistoryAutoSuggest_1_1_na_na_na&otracker1=AS_Query_HistoryAutoSuggest_1_1_na_na_na&fm=search-autosuggest&iid=3de10e5a-7053-4edd-a148-74012c5320d0.TSHHH5NT3HHYTREQ.SEARCH&ppt=sp&ppn=sp&ssid=yuhzs82c8g0000001788787562891&qH=04ad3bdbbe706182&ov_redirect=true
KAJARU Men Solid Zip Neck Cotton Blend Beige T-Shirt,3.9,376,KAJARU,https://www.flipkart.com/arrow-sport-checkered-men-polo-neck-blue-t-shirt/p/itm77835b0260459?pid=TSHHH5NT3HHYTREQ&lid=LSTTSHHH5NT3HHYTREQIOOR1N&marketplace=FLIPKART&q=t+shirts&store=clo%2Fash%2Fank&srno=s_5_180&otracker=AS_Query_HistoryAutoSuggest_1_1_na_na_na&otracker1=AS_Query_HistoryAutoSuggest_1_1_na_na_na&fm=search-autosuggest&iid=3de10e5a-7053-4edd-a148-74012c5320d0.TSHHH5NT3HHYTREQ.SEARCH&ppt=sp&ppn=sp&ssid=yuhzs82c8g0000001788787562891&qH=04ad3bdbbe706182&ov_redirect=true
